Name,Diversity,Acceptance
Motorcycle Mechanics Institute - Phoenix,B+,1.0
Pratt Community College,B+,1.0
Bethesda University of California,B+,0.67
College of Southern Maryland,B+,1.0
Universal Technical Institute - Houston,B+,1.0
Weber State University,B+,1.0
Escoffier School of Culinary Arts - Austin,B+,1.0
Northpoint Bible College,B+,1.0
Coastal Carolina Community College,B+,1.0
SUNY Nassau Community College,B+,1.0
Tarrant County College,B+,1.0
Kauai Community College,B+,1.0
Washburn University,B+,1.0
Windward Community College,B+,1.0
Northern Oklahoma College,B+,1.0
Murray State College,B+,1.0
Lincoln Technical Institute - Mahwah,B+,1.0
Bunker Hill Community College,B+,1.0
Harrisburg University of Science & Technology,B+,1.0
Richland College,B+,1.0
El Camino College,B+,1.0
Prince George's Community College,B+,1.0
Coastline Community College,B+,1.0
South Mountain Community College,B+,1.0
Carl Albert State College,B+,1.0
Minneapolis College of Art & Design,B+,0.66
Universal Technical Institute - Exton,B+,1.0
Simpson University,B+,0.52
West Valley College,B+,1.0
Greenville Technical College,B+,1.0
Fairfield University,B+,0.65
CUNY Kingsborough Community College,B+,1.0
Corcoran College of Art & Design,B+,0.27
Lee College,B+,1.0
Alaska Pacific University,B+,0.39
Southwestern Oregon Community College,B+,1.0
Strayer University - Global Region,B+,1.0
Central Penn College,B+,0.97
Life Pacific College,B+,0.64
Erskine College,B+,0.64
Louisiana State University - Shreveport,B+,0.76
Del Mar College,B+,1.0
University of Maine at Fort Kent,B+,0.89
Laramie County Community College,B+,1.0
Kansas City Kansas Community College,B+,1.0
University of Northwestern Ohio,B+,1.0
Mesa Community College,B+,1.0
Community College of Denver,B+,1.0
Assumption College,B+,0.76
New York College of Health Professions,B+,0.79
Contra Costa College,B+,1.0
Frank Phillips College,B+,1.0
New Jersey Institute of Technology,B+,0.61
Marion Military Institute,B+,0.59
Aviator College of Aeronautical Science & Technology,B+,0.7
Anne Arundel Community College,B+,1.0
Neumann University,B+,0.91
Chandler-Gilbert Community College,B+,1.0
Columbus State Community College,B+,1.0
Mid-Atlantic Christian University,B+,0.42
North Lake College,B+,1.0
Paul Mitchell the School - Mclean,B+,1.0
Cinta Aveda Institute,B+,1.0
Grossmont College,B+,1.0
York College - Nebraska,B+,0.44
Ecclesia College,B+,0.6
Rose State College,B+,1.0
Emmanuel College - Massachusetts,B+,0.78
Minneapolis Community & Technical College,B+,1.0
SUNY Broome Community College,B+,1.0
Los Medanos College,B+,1.0
Mercer County Community College,B+,1.0
Cowley County Community College,B+,1.0
New Mexico State University - Dona Ana,B+,1.0
Northwest Kansas Technical College,B+,1.0
Montana Tech of the University of Montana,B+,0.89
Calvary Bible College & Theological Seminary,B+,0.94
Indian Hills Community College,B+,1.0
Estrella Mountain Community College,B+,1.0
New Mexico Junior College,B+,1.0
Western Wyoming Community College,B+,1.0
Lees-McRae College,B+,0.67
Oakton Community College,B+,1.0
Midlands Technical College,B+,1.0
Southern New Hampshire University,B+,0.84
Universal Technical Institute - Lisle,B+,1.0
American Academy of Art,B+,0.93
Clarendon College,B+,1.0
American Institute of Medical Sciences & Education,B+,1.0
Institute of Audio Research,B+,1.0
South Plains College,B+,1.0
Ranger College,B+,1.0
Ohio Christian University,B+,0.65
University of Maine at Presque Isle,B+,0.77
Multnomah University,B+,0.59
"The Art Institute of Charlotte, a campus of South University",B+,1.0
Horry-Georgetown Technical College,B+,1.0
Atelier Esthetique Institute of Esthetics,B+,0.98
Santiago Canyon College,B+,1.0
Union County College,B+,1.0
University of Northern Colorado,B+,0.89
Cambridge Institute of Allied Health & Technology - Delray Beach,B+,1.0
Fayetteville Technical Community College,B+,1.0
Evergreen Valley College,B+,1.0
Community College of Aurora,B+,1.0
Southern Vermont College,B+,0.63
Eastfield College,B+,1.0
Crafton Hills College,B+,1.0
City Colleges of Chicago - Truman College,B+,1.0
University of Oklahoma Health Sciences Center,B+,0.6
Universal Technical Institute - Sacramento,B+,1.0
Butler Community College,B+,1.0
MiraCosta College,B+,1.0
Shaw University,B+,0.6
Laney College,B+,1.0
Piedmont Virginia Community College,B+,1.0
Tuskegee University,B+,0.53
Georgian Court University,B+,0.73
Belmont Abbey College,B+,0.68
Craven Community College,B+,1.0
Paul Mitchell the School - Overland Park,B+,1.0
Brigham Young University - Idaho,B+,1.0
Lincoln Christian University,B+,0.6
Universal Technical Institute - Dallas/Ft. Worth,B+,1.0
Gene Juarez Academy - North,B+,1.0
Spartanburg Methodist College,B+,0.7
Pacific Northwest College of Art,B+,0.81
American River College,B+,1.0
College of the Siskiyous,B+,1.0
Mt. San Jacinto College,B+,1.0
Quinsigamond Community College,B+,1.0
University of Minnesota - Rochester,B+,0.28
Escoffier School of Culinary Arts - Boulder,B+,1.0
University of New England,B+,0.85
John Tyler Community College,B+,1.0
Monterey Peninsula College,B+,1.0
Southwestern Christian College,B+,1.0
Prairie State College,B+,1.0
Glendale Community College - Arizona,B+,1.0
College of Alameda,B+,1.0
Columbia International University,B+,0.34
Remington College - Honolulu,B+,0.77
Century College - Minnesota,B+,1.0
Wake Technical Community College,B+,1.0
Coconino Community College,B+,1.0
Gupton Jones College of Funeral Service,B+,1.0
Davis College - New York,B+,0.43
Milwaukee Area Technical College,B+,1.0
Saddleback College,B+,1.0
Gwinnett Technical College,B+,1.0
Westminster College - Pennsylvania,B+,0.94
Linn-Benton Community College,B+,1.0
Cuesta College,B+,1.0
Elgin Community College,B+,1.0
Colorado Northwestern Community College,B+,1.0
Nevada Career Institute,B+,1.0
Florida Keys Community College,B+,1.0
Marshalltown Community College,B+,1.0
Ultimate Medical Academy - Tampa,B+,1.0
Palomar College,B+,1.0
Cincinnati State Technical & Community College,B+,1.0
Lincoln College of New England - Southington,B+,1.0
SUNY Herkimer County Community College,B+,1.0
Minnesota State Community & Technical College,B+,1.0
Solano Community College,B+,1.0
Cleveland Institute of Music,B+,0.47
Ancilla College,B+,1.0
Maine College of Art,B+,0.98
NASCAR Technical Institute,B+,1.0
San Diego Miramar College,B+,1.0
Neosho County Community College,B+,1.0
Post University,B+,0.81
Seminole State College,B+,1.0
Trinity Baptist College,B+,0.86
City College - Altamonte Springs,B+,1.0
Brewton-Parker College,B+,0.51
Los Angeles Valley College,B+,1.0
Phoenix College,B+,1.0
East Mississippi Community College,B+,1.0
Harcum College,B+,0.94
Northern Essex Community College,B+,1.0
Dodge City Community College,B+,1.0
Northland Community & Technical College,B+,1.0
Sierra College,B+,1.0
Lincoln Technical Institute - Union,B+,1.0
Grace University,B+,0.59
Lincoln Technical Institute - Paramus,B+,1.0
SUNY Sullivan County Community College,B+,1.0
City College - Hollywood,B+,1.0
Centura College - Virginia Beach,B+,1.0
Capitol Technology University,B+,0.97
Northampton County Area Community College,B+,1.0
Fullerton College,B+,1.0
Los Angeles Harbor College,B+,1.0
Nebraska Wesleyan University,B+,0.79
South Suburban College,B+,1.0
Lone Star College System,B+,1.0
Normandale Community College,B+,1.0
Parkland College,B+,1.0
Northeast Texas Community College,B+,1.0
Pima Community College,B+,1.0
Trinity Valley Community College,B+,1.0
Edmonds Community College,B+,1.0
Universal Technical Institute - Avondale,B+,1.0
Des Moines Area Community College,B+,1.0
Aveda Institute - New York,B+,1.0
Eastern Arizona College,B+,1.0
Hopkinsville Community College,B+,1.0
God's Bible School & College,B+,1.0
Central Wyoming College,B+,1.0
Ellsworth Community College,B+,1.0
SUNY Dutchess Community College,B+,1.0
Navarro College,B+,1.0
Frederick Community College,B+,1.0
College of DuPage,B+,1.0
Scottsdale Community College,B+,1.0
Honolulu Community College,B+,1.0
College of Our Lady of the Elms,B+,0.75
Lake Region State College,B+,1.0
Shoreline Community College,B+,1.0
Fond du Lac Tribal & Community College,B+,1.0
Swedish Institute College of Health Sciences,B+,1.0
Living Arts College,B+,1.0
HoHoKus Hackensack - School of Business & Medical Sciences,B+,0.52
Southwest Tennessee Community College,B+,1.0
Aviation Institute of Maintenance - Philadelphia,B+,1.0
Wood Tobe-Coburn School,B+,0.93
Alvin Community College,B+,1.0
Riverside City College,B+,1.0
Rocky Mountain College of Art & Design,B+,1.0
Pierce College - Los Angeles,B+,1.0
Talmudical Yeshiva of Philadelphia - Adult Education,B+,0.75
Seward County Community College & Area Technical School,B+,1.0
Missouri Baptist University,B+,0.57
Utah College of Massage Therapy - Las Vegas,B+,1.0
University of Alaska Southeast,B+,0.49
Collin College,B+,1.0
Middlesex Community College - Massachusetts,B+,1.0
Walla Walla Community College,B+,1.0
Saint Louis Christian College,B+,0.36
Union Institute & University,B+,1.0
Iowa Wesleyan University,B+,0.5
Aveda Institute - Los Angeles,B+,1.0
Ridley-Lowell Business & Technical Institute - Danbury,B+,1.0
College of Southern Idaho,B+,1.0
Northwest College - Wyoming,B+,1.0
Long Island University - Brooklyn,B+,0.91
Delaware Technical Community College - Stanton-Wilmington,B+,1.0
Eastern International College - Belleville,B+,1.0
Hocking College,B+,1.0
Florida Christian College,B+,0.39
Institute of American Indian Arts,B+,1.0
Camden County College,B+,1.0
SAE Institute of Technology - Nashville,B+,1.0
Lackawanna College,B+,1.0
Blue Mountain Community College,B+,1.0
Alfred University,B+,0.68
Kuyper College,B+,0.71
Moraine Valley Community College,B+,1.0
Center for Advanced Legal Studies,B+,0.33
Community College of Philadelphia,B+,1.0
Hutchinson Community College,B+,1.0
American InterContinental University - Dunwoody,B+,1.0
Donnelly College,B+,1.0
Glendale Community College - California,B+,1.0
Spring Arbor University,B+,0.69
Ocean Corporation,B+,1.0
Bethany Lutheran College,B+,0.85
The Restaurant School at Walnut Hill College,B+,0.78
Santa Ana College,B+,1.0
Mountain View College,B+,1.0
SUNY Genesee Community College,B+,1.0
Livingstone College,B+,0.71
College of the Canyons,B+,1.0
Wharton County Junior College,B+,1.0
The Art Institute of Portland,B+,1.0
North Hennepin Community College,B+,1.0
Kilgore College,B+,1.0
College of San Mateo,B,1.0
Empire Beauty School - Warwick,B,1.0
SUNY Orange County Community College,B,1.0
Patrick Henry Community College,B,1.0
Argosy University - Hawaii,B,1.0
Cypress College,B,1.0
DeVry University - North Carolina,B,0.67
Delgado Community College,B,1.0
Norco College,B,1.0
Saint Joseph's College of Maine,B,0.78
SUNY Monroe Community College,B,1.0
Platt College - Tulsa,B,1.0
Napa Valley College,B,1.0
Lincoln Technical Institute - East Windsor,B,1.0
"Watkins College of Art, Design, & Film",B,0.7
Miles Community College,B,1.0
SUNY Rockland Community College,B,1.0
Manchester Community College - Connecticut,B,1.0
Nashville State Community College,B,1.0
Cedar Valley College,B,1.0
University of South Carolina - Lancaster,B,0.72
The King's University - California,B,0.9
Western Iowa Tech Community College,B,1.0
Brookhaven College,B,1.0
Saint Paul College - Minnesota,B,1.0
Memphis College of Art,B,0.38
Los Angeles City College,B,1.0
Manhattan Christian College,B,0.82
University of South Carolina - Salkehatchie,B,0.52
DeVry University - Arizona,B,0.84
Merritt College,B,1.0
Strayer University - Maryland,B,1.0
South Louisiana Community College,B,1.0
Friends University,B,0.58
College of St. Joseph,B,0.71
Long Beach City College,B,1.0
Southwestern Michigan College,B,1.0
Aviation Institute of Maintenance - Manassas,B,1.0
Pikes Peak Community College,B,1.0
IBMC College - Fort Collins,B,1.0
El Camino College - Compton Center,B,1.0
Regis College,B,0.84
Lamar Community College,B,1.0
Carthage College,B,0.7
San Diego City College,B,1.0
Ventura College,B,1.0
Iowa Western Community College,B,1.0
Brightwood College - Hammond,B,1.0
SUNY Jefferson Community College,B,1.0
Faith Evangelical College & Seminary,B,1.0
Utah College of Massage Therapy - Richardson,B,1.0
University of Phoenix - Washington DC,B,1.0
Crossroads Bible College,B,1.0
Cortiva Institute - Pennsylvania School of Muscle Therapy,B,1.0
Kirkwood Community College,B,1.0
"The Art Institute of Charleston, a branch of The Art Institute of Atlanta",B,1.0
Laurel University,B,0.77
Massachusetts College of Liberal Arts,B,0.73
Harford Community College,B,1.0
Universal Technical Institute - Norwood,B,1.0
Southwestern Illinois College,B,1.0
Santa Rosa Junior College,B,1.0
Durham Technical Community College,B,1.0
Wentworth Military Academy & College,B,1.0
Somerset Christian College,B,1.0
Judson College,B,0.63
McLennan Community College,B,1.0
Aveda Institute - Chicago,B,1.0
GateWay Community College - Phoenix,B,1.0
Sanford-Brown College - Tampa,B,1.0
Western Connecticut State University,B,0.57
Lenoir Community College,B,1.0
SUNY Fulton-Montgomery Community College,B,1.0
Hagerstown Community College,B,1.0
Columbus Technical College,B,1.0
Gateway Community College - Connecticut,B,1.0
Warner Pacific College,B,0.51
Aiken Technical College,B,1.0
Joliet Junior College,B,1.0
Johnson County Community College,B,1.0
Rowan College at Burlington County,B,1.0
Aviation Institute of Maintenance - Houston,B,1.0
Lincoln Technical Institute - Edison,B,1.0
Golf Academy of America - Altamonte Springs,B,1.0
Hinds Community College,B,1.0
Jacksonville College,B,1.0
University of Maine at Machias,B,0.85
Massachusetts Bay Community College,B,1.0
Kalamazoo Valley Community College,B,1.0
Chattanooga State Community College,B,1.0
Dallas Institute of Funeral Service,B,1.0
SUNY Erie Community College,B,1.0
Essex County College,B,1.0
Florida College of Natural Health - Pompano Beach,B,1.0
Universal Technical Institute - Rancho Cucamonga,B,1.0
Chattahoochee Valley Community College,B,1.0
List College - The Jewish Theological Seminary,B,0.52
Temple College,B,1.0
Springfield Technical Community College,B,1.0
Wheelock College,B,0.95
Minnesota School of Cosmetology - Woodbury,B,1.0
Hobe Sound Bible College,B,1.0
Moore College of Art & Design,B,0.87
Fisher College,B,0.7
Moreno Valley College,B,1.0
San Joaquin Valley College - Visalia,B,1.0
SUNY Suffolk County Community College,B,1.0
Penn State Wilkes-Barre,B,0.88
PC Age Computer Training School - Jersey City,B,1.0
Mid-America Christian University,B,1.0
Brookdale Community College,B,1.0
Community College of Rhode Island,B,1.0
Dakota County Technical College,B,1.0
City Colleges of Chicago - Wilbur Wright College,B,1.0
Augusta Technical College,B,1.0
Miami International University of Art & Design,B,1.0
University of Antelope Valley,B,1.0
Big Bend Community College,B,1.0
Fortis Institute - Wayne,B,1.0
Midland University,B,0.61
National Aviation Academy of New England,B,1.0
Trine University - Regional,B,0.67
Jefferson Community & Technical College,B,1.0
Colorado Media School,B,1.0
Montserrat College of Art,B,1.0
Hiwassee College,B,0.59
Metropolitan Community College - Nebraska,B,1.0
Imagine - Little Rock,B,1.0
Crescent City Bartending School,B,1.0
Northwestern Polytechnic University,B,1.0
San Joaquin Delta College,B,1.0
Germanna Community College,B,1.0
Central New Mexico Community College,B,1.0
Yuba College,B,1.0
Delaware County Community College,B,1.0
Automotive Training Center - Warminster,B,1.0
SUNY Onondaga Community College,B,1.0
Cloud County Community College,B,1.0
Long Island Business Institute,B,1.0
San Bernardino Valley College,B,1.0
Rochester Community & Technical College,B,1.0
Bucks County Community College,B,1.0
Chamberlain College of Nursing - Arlington,B,0.67
Aveda Institute - Provo,B,1.0
Trinity College of Florida,B,0.74
South Puget Sound Community College,B,1.0
SUM Bible College & Theological Seminary,B,1.0
Merced College,B,1.0
Midwest Technical Institute - Moline,B,1.0
Raritan Valley Community College,B,0.99
Touro University - Worldwide,B,0.34
King's College - North Carolina,B,0.9
Texas State Technical College - Waco,B,1.0
Illinois Central College,B,1.0
Platt College - Oklahoma City North,B,1.0
Southern California Institute of Architecture,B,0.73
Utah College of Massage Therapy - Aurora,B,1.0
Keystone College,B,0.98
Williams Baptist College,B,0.64
Richard Bland College of the College of William & Mary,B,0.6
Concordia College - Alabama,B,0.4
Cuyamaca College,B,1.0
Woodland Community College,B,1.0
Moorpark College,B,1.0
Iowa Lakes Community College,B,1.0
Eastern Iowa Community College,B,1.0
City University of Seattle,B,1.0
North Seattle College,B,1.0
Jefferson State Community College,B,1.0
Perry Technical Institute,B,1.0
Lake Land College,B,1.0
Aviation Institute of Maintenance - Kansas City,B,1.0
Sweet Briar College,B,0.95
Columbia College - Fairfax,B,1.0
Yavapai College,B,1.0
Pickens Technical College,B,1.0
Naugatuck Valley Community College,B,1.0
Citrus College,B,1.0
Calhoun Community College,B,1.0
Harper College,B,1.0
Pinnacle Career Institute - Kansas City,B,1.0
Vernon College,B,1.0
Mississippi Gulf Coast Community College,B,1.0
Danville Community College,B,1.0
Lincoln Technical Institute - South Plainfield,B,1.0
Hamilton Technical College,B,1.0
"Rivertown School of Beauty, Barber, Skin Care & Nails",B,1.0
Gateway Technical College,B,1.0
Paradise Valley Community College,B,1.0
Paul Quinn College,B,0.6
Sheridan College,B,1.0
University of the Potomac,B,1.0
The Art Institute of Philadelphia,B,1.0
Aviation Institute of Maintenance - Dallas,B,1.0
Cecil College,B,1.0
Southern Union State Community College,B,1.0
Black Hawk College,B,1.0
Baptist College of Health Sciences,B,0.55
The Art Institute of Fort Lauderdale,B,1.0
University of Wisconsin Colleges,B,1.0
County College of Morris,B,1.0
San Francisco Institute of Esthetics & Cosmetology,B,1.0
Arizona Western College,B,1.0
University of South Carolina - Sumter,B,0.63
SAE Institute of Technology - Los Angeles,B,1.0
"The Art Institute of California - San Diego, a campus of Argosy University",B,1.0
Louisiana State University Health Sciences Center - New Orleans,B,0.6
Tennessee Technology Center at Nashville,B,1.0
Mount Aloysius College,B,0.73
Cleary University,B,0.72
Massasoit Community College,B,1.0
Aveda Institute - Denver,B,1.0
Norwalk Community College,B,1.0
Cuyahoga Community College,B,1.0
Tribeca Flashpoint College,B,0.9
Mount St. Joseph University,B,0.15
Inver Hills Community College,B,1.0
American Institute of Technology,B,1.0
Delta Technical College - Horn Lake,B,1.0
Labette Community College,B,1.0
Pittsburgh Technical College,B,0.86
Volunteer State Community College,B,1.0
Concorde Career College - San Diego,B,0.83
Savannah Technical College,B,1.0
Centenary College - New Jersey,B,0.87
Waubonsee Community College,B,1.0
Barclay College,B,0.75
Barstow Community College,B,1.0
Florence-Darlington Technical College,B,1.0
Grand Rapids Community College,B,1.0
College of the Redwoods,B,1.0
Middle Georgia State University,B,0.86
Atlanta Institute of Music,B,0.71
Bossier Parish Community College,B,1.0
Welch College,B,1.0
East Los Angeles College,B,1.0
Faith Baptist Bible College & Theological Seminary,B,0.64
Wade College,B,1.0
Nunez Community College,B,1.0
Northeast Community College,B,1.0
North Iowa Area Community College,B,1.0
DeVry University - Missouri,B,0.86
Cabrillo College,B,1.0
Paul Smith's College,B,0.69
Shelton State Community College,B,1.0
Lincoln Technical Institute - Lincoln,B,1.0
Howard College,B,1.0
Folsom Lake College,B,1.0
Atlantic Cape Community College,B,1.0
Klamath Community College,B,1.0
New Mexico State University - Grants,B,1.0
New England Tractor Trailer Training School - Rhode Island,B,1.0
Heartland Community College,B,1.0
SUNY Clinton Community College,B,1.0
River Parishes Community College,B,1.0
Wilmington University,B,1.0
College of the Sequoias,B,1.0
South University - Tampa,B,0.63
Hennepin Technical College,B,1.0
El Paso Community College,B,1.0
University of New Mexico - Valencia County,B,1.0
University of New Mexico - Gallup,B,1.0
Northeastern Junior College,B,1.0
Northwestern College - Bridgeview,B,0.82
Bay Mills Community College,B,1.0
CUNY Bronx Community College,B,1.0
Cumberland County College,B,1.0
Otero Junior College,B,1.0
Tri-County Technical College,B,1.0
New River Community College,B,1.0
Vista College - El Paso,B,1.0
Hartnell College,B,1.0
Oxnard College,B,1.0
Blinn College,B,1.0
Truckee Meadows Community College,B,1.0
Minnesota West Community & Technical College,B,1.0
Clary Sage College,B,1.0
University of Arkansas Community College - Morrilton,B,0.66
Lincoln Technical Institute - New Britain,B,1.0
South Piedmont Community College,B,1.0
Northland International University,B,1.0
College of Western Idaho,B,1.0
Front Range Community College,B,1.0
Eastern Oklahoma State College,B,1.0
Mt. Hood Community College,B,1.0
El Centro College,B,1.0
New England Tractor Trailer Training School - Connecticut,B,1.0
SUNY Hudson Valley Community College,B,1.0
CUNY Hostos Community College,B,1.0
North Dakota State College of Science,B,1.0
Rock Valley College,B,1.0
Neumont College of Computer Science,B,0.8
Independence University,B,1.0
Minneapolis Business College,B,1.0
Guilford Technical Community College,B,1.0
Montgomery County Community College - Central Campus,B,1.0
Arlington Baptist College,B,1.0
Tulsa Community College,B,1.0
SUNY Tompkins Cortland Community College,B,1.0
Automotive Training Center - Exton,B,1.0
Owens Community College,B,1.0
Stevens-Henager College - Murray,B,1.0
University of Mississippi Medical Center,B,0.6
Canada College,B,1.0
Bluegrass Community & Technical College,B,1.0
Manor College,B,0.55
Career College of Northern Nevada,B,1.0
Angelina College,B,1.0
Holyoke Community College,B,1.0
Aria Health School of Nursing,B,0.69
Butte College,B,1.0
Berkeley College - Woodland Park,B,1.0
Lake Superior College,B,1.0
SUNY Cayuga Community College,B,1.0
New England Tractor Trailer Training School - Massachusetts,B,1.0
Oregon Health & Science University,B,0.6
North Central Texas College,B,1.0
Nazarene Bible College,B,1.0
Lincoln College of Technology - Columbia,B,1.0
Washtenaw Community College,B,1.0
Elegance International,B,1.0
Ohio Technical College,B,1.0
Appalachian Bible College,B,0.48
Hilbert College,B,0.82
Wenatchee Valley College,B,1.0
University of New Mexico - Los Alamos,B,1.0
Centura College - Chesapeake,B,1.0
St. Louis Community College - Forest Park,B,1.0
University of Management & Technology,B,1.0
SUNY Jamestown Community College,B,1.0
East Central Community College,B,1.0
Lorain County Community College,B,1.0
Gene Juarez Academy - South,B,1.0
Lewis & Clark Community College,B,1.0
Rudy & Kelly Academy - A Paul Mitchell Partner School,B,1.0
Divers Institute of Technology,B,1.0
"The Art Institute of Dallas, a campus of South University",B,1.0
Lassen Community College,B,1.0
Charles A. Jones Career & Education Center,B,1.0
Penn State Dubois,B,0.85
Grayson College,B,1.0
Lansing Community College,B,1.0
Pitt Community College,B,1.0
Passaic County Community College,B,1.0
Copiah-Lincoln Community College,B,1.0
International Air & Hospitality Academy,B,0.6
Chattahoochee Technical College,B,1.0
Benjamin Franklin Institute of Technology,B,1.0
New Mexico State University - Carlsbad,B,1.0
Genesis Career College - Lebanon,B,1.0
Globe University - Woodbury,B,1.0
Gavilan College,B,1.0
Ivy Tech Community College - Central Indiana,B,1.0
Bladen Community College,B,1.0
Highland Community College - Illinois,B,1.0
Paul Mitchell the School - Memphis,B,1.0
SUNY Mohawk Valley Community College,B,1.0
Aveda Institute - Covington,B,1.0
Allan Hancock College,B,1.0
Spartanburg Community College,B,1.0
Palomar Institute of Cosmetology,B,1.0
Triton College,B,1.0
Itasca Community College,B,1.0
Flagler College - Tallahassee,B,0.6
Cape Fear Community College,B,1.0
Stone Academy - East Hartford,B,1.0
Bastyr University,B,0.6
North Shore Community College,B,1.0
Columbia Gorge Community College,B,1.0
Lincoln Technical Institute - Whitestone,B,1.0
West Hills College - Lemoore,B,1.0
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,B,0.58
Enterprise State Community College,B,1.0
Tunxis Community College,B,1.0
Victoria College,B,1.0
Chatham University,B,0.55
Voorhees College,B,0.93
Panola College,B,1.0
Taft College,B,1.0
Cape Cod Community College,B,1.0
National Holistic Institute,B,1.0
University of Pittsburgh - Titusville,B,0.77
NewSchool of Architecture & Design,B,0.97
Casper College,B,1.0
Divers Academy International,B,1.0
Kishwaukee College,B,1.0
Louisiana State University - Eunice,B,1.0
Stautzenberger College - Maumee,B,1.0
Brightwood Career Institute - Broomall,B,1.0
Aquinas College - Nashville,B,0.52
Hill College,B,1.0
Pierce College at Puyallup,B,1.0
Aveda Institute - St. Petersburg,B,1.0
Tulsa Welding School - Jacksonville,B,1.0
Clovis Community College,B,1.0
University of Phoenix - Albuquerque,B,1.0
West Georgia Technical College - Murphy,B,1.0
Central Oregon Community College,B,1.0
Los Angeles Trade-Technical College,B,1.0
Genesis Career College - Cookeville,B,1.0
Hickey College,B,1.0
Wor-Wic Community College,B,1.0
Wichita Technical Institute,B,1.0
Empire Beauty School - Bloomington,B,1.0
Central Carolina Community College,B,1.0
Palo Alto College,B,1.0
Cochise College,B,1.0
Central Maine Community College,B,1.0
College of Marin,B,1.0
Ocean County College,B,1.0
Paris Junior College,B,1.0
Crave Beauty Academy,B,1.0
Fortis College - Columbus,B,1.0
South Coast College,B,1.0
Toni & Guy Hairdressing Academy - Santa Monica,B,1.0
Hudson County Community College,B,1.0
Southeast Community College Area,B,1.0
Trident Technical College,B,1.0
University of Phoenix - Jersey City,B,1.0
Aviation Institute of Maintenance - Indianapolis,B,1.0
The Art Institute of Seattle,B,1.0
Asnuntuck Community College,B,1.0
Herzing University - Birmingham,B,0.95
Villa Maria College,B,0.85
Bristol Community College,B,1.0
Brightwood College - Vista,B,1.0
Salem Community College,B,1.0
University of New Hampshire at Manchester,B,0.73
Vermilion Community College,B,1.0
Medical University of South Carolina,B,0.6
Texarkana College,B,1.0
Quincy College,B,1.0
McHenry County College,B,1.0
"The Art Institute of California - San Francisco, a campus of Argosy University",B,1.0
College of the Albemarle,B,1.0
DeVry University - Pennsylvania,B,0.86
TCI College,B,1.0
Institute for Therapeutic Massage,B,1.0
MyComputerCareer-TechSkills - Raleigh,B,1.0
SUNY Corning Community College,B,1.0
NorthWest Arkansas Community College,B,1.0
Sussex County Community College,B,1.0
Esthetiques Cosmetology Institute,B,1.0
Virginia College - Jacksonville,B,1.0
Southwest Baptist University,B,0.9
Sentara College of Health Sciences,B,0.6
Commonwealth Institute of Funeral Service,B,1.0
National Aviation Academy,B,1.0
Fort Scott Community College,B,1.0
South Georgia College,B,0.58
CBD College,B,1.0
Los Angeles Mission College,B,1.0
Nash Community College,B,1.0
Wayne Community College,B,1.0
South Georgia Technical College,B,1.0
Blue Ridge Community College - Virginia,B,1.0
Criswell College,B,1.0
Aviation Institute of Maintenance - Chesapeake,B,1.0
West Hills College - Coalinga,B,1.0
Mount Saint Mary College - New York,B,0.9
Modern Technology School,B,0.52
College of the Mainland,B,1.0
Southeastern Community College - Iowa,B,1.0
Jamestown Business College,B,0.92
WyoTech - Laramie,B,1.0
Lincoln Technical Institute - Philadelphia,B,1.0
Florida Career College - Miami,B,1.0
Faulkner State Community College,B,1.0
Indian Capital Technology Center - Muskogee,B,1.0
Lincoln College of Technology - Grand Prairie,B,1.0
Southeast Technical Institute,B,1.0
Concordia University - Texas,B,0.82
Ursuline College,B-,0.88
Dayton School of Medical Massage,B-,1.0
Eastern New Mexico University - Roswell,B-,1.0
Sowela Technical Community College,B-,1.0
Lincoln Land Community College,B-,1.0
Forsyth Technical Community College,B-,1.0
Gary Manuel Aveda Institute - Seattle,B-,0.93
West Coast Ultrasound Institute,B-,1.0
Whatcom Community College,B-,1.0
Pellissippi State Community College,B-,1.0
MIAT College of Technology,B-,0.64
Baltimore School of Massage,B-,1.0
American Career College - Anaheim,B-,1.0
Mount Wachusett Community College,B-,1.0
Chemeketa Community College,B-,1.0
Carrington College - Portland,B-,1.0
North Central Michigan College,B-,1.0
Southside Virginia Community College,B-,1.0
Shorter University - College of Adult & Professional Programs,B-,0.48
Aviation Institute of Maintenance - Atlanta,B-,1.0
Aveda Institute - Chapel Hill,B-,1.0
North Idaho College,B-,1.0
Harrisburg Area Community College - Harrisburg,B-,1.0
SUNY Finger Lakes Community College,B-,1.0
Pennsylvania College of Art & Design,B-,0.4
Hawkeye Community College,B-,0.69
Lord Fairfax Community College,B-,1.0
Mendocino College,B-,1.0
Saint Joseph Seminary College,B-,1.0
University of Arkansas for Medical Sciences,B-,0.6
Greenfield Community College,B-,1.0
Delaware Technical Community College - Owens,B-,1.0
University of New Mexico - Taos,B-,1.0
Pima Medical Institute - Las Vegas,B-,1.0
HoHoKus School - RETS Nutley,B-,0.44
Northern Maine Community College,B-,0.68
Baltimore City Community College,B-,1.0
Chamberlain College of Nursing - Columbus,B-,0.78
City Colleges of Chicago - Richard J. Daley College,B-,1.0
Jersey College - Teterboro,B-,0.61
Lancaster County Career & Technology Center,B-,1.0
Highland Community College - Kansas,B-,1.0
Moberly Area Community College,B-,1.0
Carrington College California - Sacramento,B-,0.93
Kent State University - East Liverpool,B-,1.0
