Name,Diversity,Acceptance
Colorado Mesa University,B+,0.83
Point Loma Nazarene University,B+,0.71
William Jewell College,B+,0.49
Baldwin Wallace University,B+,0.6
Vermont Technical College,B+,0.85
"The Art Institute of California - Hollywood, a campus of Argosy University",B+,1.0
Bowling Green State University,B+,0.73
Thiel College,B+,0.61
University of Central Missouri,B+,0.79
Drake University,B+,0.67
Catawba College,B+,0.32
Reinhardt University,B+,0.91
Colorado School of Mines,B+,0.38
Luther College,B+,0.67
Penn State Lehigh Valley,B+,0.86
Norwich University,B+,0.57
Notre Dame of Maryland University,B+,0.52
Toccoa Falls College,B+,0.45
Oregon Institute of Technology,B+,0.57
Bellevue College,B+,1.0
Furman University,B+,0.64
Goodwin College,B+,1.0
Rockhurst University,B+,0.74
Tallahassee Community College,B+,1.0
Southern Polytechnic State University,B+,0.79
Broward College,B+,1.0
University of Vermont,B+,0.71
College of Coastal Georgia,B+,0.95
Tyler Junior College,B+,1.0
College of Southern Nevada,B+,1.0
Tusculum College,B+,0.69
University of Michigan - Dearborn,B+,0.62
Thomas More College,B+,0.88
Augustana University,B+,0.65
Pittsburg State University,B+,0.81
Northern State University,B+,0.72
University of West Georgia,B+,0.57
Lincoln University of Pennsylvania,B+,0.91
Abilene Christian University,B+,0.5
Kutztown University of Pennsylvania,B+,0.82
The Art Institute of Colorado,B+,1.0
Francis Marion University,B+,0.59
DeVry University - Florida,B+,0.78
The Art Institute of Houston,B+,1.0
Warner Pacific College - Adult Degree Program,B+,1.0
Georgia Southwestern State University,B+,0.72
Oakland University,B+,0.8
Utah Valley University,B+,1.0
Southern Virginia University,B+,0.38
Southern Nazarene University,B+,1.0
CUNY York College,B+,0.41
Lakeland College,B+,0.96
Kaplan University - Davenport,B+,1.0
Madonna University,B+,0.6
Indiana University-Purdue University - Indianapolis (IUPUI),B+,0.7
University of Nebraska at Kearney,B+,0.85
Widener University,B+,0.68
Colorado Mountain College,B+,1.0
Newman University,B+,0.56
Hanover College,B+,0.61
Westminster College - Utah,B+,0.96
University of Connecticut - Avery Point,B+,0.6
Oakwood University,B+,0.47
Walsh University,B+,0.8
Millikin University,B+,0.6
Manchester University,B+,0.71
Green River Community College,B+,1.0
SUNY Potsdam,B+,0.74
Biola University,B+,0.7
Aurora University,B+,0.77
Dalton State College,B+,1.0
University of Tennessee,B+,0.76
Roanoke College,B+,0.72
Bay State College,B+,0.5
Elmira College,B+,0.76
Darton State College,B+,1.0
Chowan University,B+,0.62
Stevenson University,B+,0.6
Oklahoma State University Institute of Technology - Okmulgee,B+,1.0
University of Mary Hardin-Baylor,B+,0.8
University of Akron,B+,0.97
Cardinal Stritch University,B+,0.77
Gustavus Adolphus College,B+,0.67
West Los Angeles College,B+,1.0
Truman State University,B+,0.79
Lincoln Memorial University,B+,0.74
St. Thomas Aquinas College,B+,0.79
Drury University,B+,0.84
Western Washington University,B+,0.82
University of Wisconsin - Whitewater,B+,0.81
Texas A&M University,B+,0.67
Flagler College - St. Augustine,B+,0.5
Crown College,B+,0.53
Transylvania University,B+,0.93
University of Maine,B+,0.91
University of Montana,B+,0.91
